메타데이터,그룹,n,비중_pct,중앙값_강수부족_score,중앙값_강풍_score,중앙값_산지접근성_score,중앙값_생활권접점_score,중앙값_선행건조_score,중앙값차_sd_강수부족_score,중앙값차_sd_강풍_score,중앙값차_sd_산지접근성_score,중앙값차_sd_생활권접점_score,중앙값차_sd_선행건조_score,판정_강수부족_score,판정_강풍_score,판정_산지접근성_score,판정_생활권접점_score,판정_선행건조_score,평균_강수부족_score,평균_강풍_score,평균_산지접근성_score,평균_생활권접점_score,평균_선행건조_score,평균차_sd_강수부족_score,평균차_sd_강풍_score,평균차_sd_산지접근성_score,평균차_sd_생활권접점_score,평균차_sd_선행건조_score
L1_NAME,나지,183,6.853932584269663,0.1304125104266812,-0.42780456115664967,0.11772918175533871,-0.35465250338952475,0.03823302897672503,-0.01016009267759949,-0.3502020411113865,0.3092173840191092,-0.649806776681275,-0.05295526414091679,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음,전체 평균과 큰 차이 작음,-0.24731735611306863,-0.10532816077485163,0.13739686488125089,-0.28833020006147425,-0.10180817532359193,-0.2534665684076674,-0.11151280570832167,0.16758619314217388,-0.30351911152341005,-0.10376990162065955
L1_NAME,농업지역,250,9.363295880149813,0.1318133840146988,0.011635679405741544,0.21929176051175656,-0.3480737700126796,-0.0336820131308481,-0.008724388258353533,0.11504119304135656,0.4330956541252045,-0.6428814830108106,-0.12625602629315966,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음,전체 평균과 큰 차이 작음,-0.09292037877371434,0.027675628977314477,0.11795580215344344,-0.4621055840586863,-0.06826959460116763,-0.09523071859197149,0.029300682878151324,0.14387347090497202,-0.48644878779120215,-0.06958507107045488
L1_NAME,미분류,46,1.7228464419475655,0.1445621354074254,0.6489432749851318,-0.5946605831972414,0.3691690277347952,0.3128074965151767,0.004341343632778111,0.7897701312423786,-0.5597011960739243,0.11214486064817399,0.22690993718940858,전체 평균과 큰 차이 작음,높음,낮음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,0.12979886380584835,0.460388441842344,-0.5353776335852833,-0.2685124013781854,0.15322050481867122,0.133026137385366,0.4874214691288914,-0.6530127130889628,-0.2826573334390499,0.15617288749911318
L1_NAME,산림지역,437,16.367041198501873,0.14955705302249053,-0.08603346932932648,0.572260725918437,-1.3064313655164463,0.32606646507919024,0.009460453133490858,0.011637120222957407,0.8636202171198671,-1.6517242814654887,0.24042439080873662,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,높음,낮음,전체 평균과 큰 차이 작음,0.05158059339942321,0.010591833297081228,0.49744647395305536,-1.3050782908610457,0.24471395675758792,0.05286307524412406,0.011213763155677904,0.6067471840339355,-1.3738283510578497,0.24942931289382145
L1_NAME,수역,2,0.0749063670411985,0.042217563456395026,-0.5858338571854272,0.973622532087999,-0.29256383063567665,0.7276020423171567,-0.1005478879815191,-0.5175104803230912,1.3531706681200235,-0.584447342303961,0.6496970962151659,전체 평균과 큰 차이 작음,낮음,높음,낮음,높음,0.042217563456395026,-0.5858338571854272,0.973622532087999,-0.29256383063567665,0.7276020423171567,0.04326724619736438,-0.6202327716831552,1.1875503407671806,-0.30797576500655643,0.7416220957723623
L1_NAME,습지,55,2.0599250936329585,0.11851475504795002,0.10269315563490285,-0.2812026043693225,0.1308650292583509,0.27981424321351067,-0.022353669687302555,0.21144537004714162,-0.1773691142814275,-0.1387127251150418,0.1932809418913658,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,-0.05626354179614942,0.20150706387134779,-0.1651241845202627,0.09518694825650553,0.19029764854997255,-0.05766245883289951,0.21333912884297795,-0.20140585815675968,0.10020128990053614,0.19396446509239726
L1_NAME,시가화건조지역,1129,42.28464419475655,0.12320101946408525,-0.08289342436063606,-0.355102079444217,0.8530355926836621,0.054073647166067676,-0.017550887630770645,0.014961541934425974,-0.2675060450892026,0.6215009733892334,-0.036809415480985,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,높음,전체 평균과 큰 차이 작음,-0.017035945955025646,0.02180529055825826,-0.16427590676563872,0.782697363567062,-0.058611344789564125,-0.017459521760473277,0.02308565070868606,-0.20037119379416676,0.8239289825725494,-0.05974071790733907
L1_NAME,초지,568,21.273408239700377,0.1596589983326347,-0.2482415037933875,-0.10471804902698312,-0.3092577505844127,0.09018719614625645,0.01981356968077255,-0.16009542403161173,0.03789325581540236,-0.6020206792267079,0.0,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,0.10954462406092011,-0.0844713858044541,-0.09645639253758345,-0.2418201967684062,-0.0423225599959165,0.11226830330312679,-0.08943136539961138,-0.11765013447411365,-0.2545590134363796,-0.043138066988742146
L2_NAME,공공시설지역,33,1.2359550561797752,0.12562340283207676,-0.4773228928720936,-0.07671120216075311,0.46829135842956665,0.04039674922371136,-0.015068274969442052,-0.40262798364149616,0.07205386677463968,0.2164888445187231,-0.05074985149649264,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,높음,전체 평균과 큰 차이 작음,0.0741149829651122,0.014002336887660949,-0.10347533337116131,0.47172077656348904,-0.09386805030166298,0.07595775199525935,0.014824524242419054,-0.12621130197386776,0.49657049784988505,-0.09567677953333763
L2_NAME,과수원,12,0.44943820224719105,0.17440899982022895,0.7557927493973609,-0.06527956325773503,0.051064018058784216,1.4056474988585796,0.03493031004960973,0.9028935788798699,0.0859973060720978,-0.2227175640559437,1.3408077078728335,전체 평균과 큰 차이 작음,높음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,높음,0.18210492029762274,0.6002617107554976,-0.17955816792952214,0.013406798893294955,0.7298603277663848,0.1866327133825897,0.6355077980399385,-0.21901132778320073,0.014113054017922273,0.7439238957815748
